,DAY,base,AUD,BGN,BRL,CAD,CHF,CNY,CZK,DKK,GBP,HKD,HRK,HUF,IDR,ILS,INR,ISK,JPY,KRW,MXN,MYR,NOK,NZD,PHP,PLN,RON,RUB,SEK,SGD,THB,TRY,USD,ZAR
30,2020-02-13,USD,1.485046471,1.7997607435,4.3417686574,1.3256648569,0.9784669182,6.9835281126,22.8535934481,6.8759547253,0.7672310665,7.7664488819,6.8568142082,310.2236127726,13704.0029446949,3.4260605503,71.2703598049,126.7139044815,109.699088985,1183.417686574,18.626207785,4.1415294009,9.2403607251,1.5491856078,50.4858746664,3.9121192601,4.3843747124,63.5142173553,9.6459924542,1.3891598417,31.139228858,6.0589859207,1.0,14.8442992546
31,2020-02-14,USD,1.4896698026,1.8039107176,4.3282604685,1.3247555802,0.9814609851,6.987363955,22.899833979,6.891071758,0.7674598783,7.7673860911,6.8705035971,309.6015495296,13715.9933591588,3.428979893,71.4499169895,126.8216196274,109.8598044641,1184.0527577938,18.5949086884,4.1400110681,9.2471868659,1.555432577,50.5497140749,3.9190186312,4.3980815348,63.5598598045,9.6923999262,1.3918096292,31.2193322265,6.0629957572,1.0,14.8624792474
32,2020-02-17,USD,1.4886017536,1.8050761421,4.3137055838,1.3229349331,0.9820950623,6.9815413013,22.882325796,6.8944162437,0.7682325796,7.7674203969,6.8726349792,308.8509460083,13652.496538994,3.4269497,71.3816335948,127.0881402861,109.875403784,1183.848638671,18.5734194739,4.144993078,9.2637748039,1.5564374712,50.564836179,3.9335486848,4.4086755884,63.4567604984,9.7206275958,1.3887401938,31.1748961698,6.0491001384,1.0,14.9603137979
33,2020-02-18,USD,1.497318787,1.8082470414,4.3462463018,1.3262758876,0.9817862426,7.0018491124,23.0196005917,6.9066198225,0.7672429734,7.7684911243,6.8823964497,309.5691568047,13664.9963017751,3.4234467456,71.5514053254,127.3113905325,109.7448224852,1191.5125739645,18.638683432,4.1530140533,9.3272004438,1.564441568,50.6647559172,3.9521079882,4.4215051775,63.7652551775,9.7538831361,1.3921967456,31.2250369822,6.0690643491,1.0,15.051035503
34,2020-02-19,USD,1.4946296296,1.8109259259,4.3688888889,1.3223148148,0.9834259259,6.9942592593,23.112962963,6.9160185185,0.7698888889,7.7708333333,6.8937962963,311.4166666667,13688.0,3.4209259259,71.5134259259,127.8703703704,110.5092592593,1189.5833333333,18.5824074074,4.1625,9.2757407407,1.5632407407,50.5703703704,3.9548148148,4.4251851852,63.5412037037,9.7910185185,1.3919444444,31.2,6.0746296296,1.0,14.9467592593
35,2020-02-20,USD,1.5101019462,1.8126042632,4.3874884152,1.3256719184,0.9838739574,7.0238183503,23.203892493,6.9213160334,0.7770157553,7.781278962,6.9040778499,313.2530120482,13707.4976830399,3.4299351251,71.6167747915,127.9888785913,112.0111214087,1206.4782205746,18.6918443003,4.1839666358,9.3100092678,1.5797961075,50.718257646,3.968952734,4.4466172382,63.7683039852,9.8225208526,1.400463392,31.4402224282,6.0987951807,1.0,15.103429101
36,2020-02-21,USD,1.5149523192,1.8107582631,4.4023701509,1.3258031664,0.9823164522,7.0312933988,23.2024812517,6.9162114619,0.773169151,7.7878900102,6.8965836497,312.1007314138,13765.0032404407,3.4242199796,71.9877789094,128.0436996574,111.9896305898,1212.3414498658,18.9966669753,4.1935006018,9.3392278493,1.583557078,50.87954819,3.9658364966,4.4477363207,64.3903342283,9.7852050736,1.4008888066,31.6304045922,6.1226738265,1.0,15.087954819
37,2020-02-24,USD,1.514512849,1.807912738,4.3884266962,1.3285265299,0.9798484008,7.0347568867,23.2815677574,6.9050656314,0.774939915,7.794786467,6.9005361435,312.0817156591,13957.2471806249,3.4394527639,71.9416712886,128.7668700314,111.4069144019,1219.4490663709,19.15640599,4.2270290257,9.3666112035,1.5802366426,51.0704381586,3.9738398965,4.4428729895,65.323997042,9.7830467739,1.4017378443,31.7396931041,6.1563135515,1.0,15.1222037345
38,2020-02-25,USD,1.5167896679,1.8042435424,4.3882841328,1.3286900369,0.9783210332,7.0152214022,23.2712177122,6.8912361624,0.7714944649,7.7901291513,6.8788745387,311.2638376384,13925.0,3.4278597786,71.7011070111,128.5055350554,110.6273062731,1213.7269372694,19.0207564576,4.2330258303,9.3726937269,1.5830258303,51.0701107011,3.967896679,4.4370848708,65.3083948339,9.7498154982,1.3990774908,31.7250922509,6.1520295203,1.0,15.1890221402
39,2020-02-26,USD,1.5232183908,1.7984367816,4.3899770115,1.3304827586,0.9752643678,7.0187586207,23.3048275862,6.8698850575,0.7737931034,7.7923678161,6.8602298851,311.9816091954,13997.1126436782,3.4417471264,71.6501149425,128.091954023,110.4643678161,1215.8988505747,19.131954023,4.2254712644,9.3897011494,1.5883218391,51.0694252874,3.9626666667,4.4183908046,65.5051034483,9.7299310345,1.3980689655,31.8749425287,6.1591724138,1.0,15.1314942529
