,DAY,base,EUR,AUD,BGN,BRL,CAD,CHF,CNY,CZK,DKK,GBP,HKD,HRK,HUF,IDR,ILS,INR,ISK,JPY,KRW,MXN,MYR,NOK,NZD,PHP,PLN,RON,RUB,SEK,SGD,THB,TRY,USD,ZAR
31,2020-02-14,RUB,0.014511345,0.0234372733,0.0283812885,0.0680973885,0.0208426448,0.0154415222,0.1099335961,0.3602876729,0.1084186117,0.0120745999,0.1222058405,0.1080950087,4.8710231659,215.79646968,0.0539488272,1.1241358494,1.9953099333,1.7284462993,18.6289391046,0.2925574214,0.065135623,0.1454878424,0.0244719322,0.7953087724,0.0616587048,0.0691958974,1.0,0.1524924686,0.0218976196,0.4911800045,0.0953903262,0.0157332002,0.2338343617
32,2020-02-17,RUB,0.0145443122,0.0234585211,0.0284457657,0.0679786606,0.020847817,0.0154766026,0.1100204493,0.3605971313,0.1086474662,0.0121063946,0.1224049311,0.1083042205,4.8671086198,215.1464466791,0.0540044855,1.1248861908,2.0027517839,1.7315003622,18.6559892023,0.2926941011,0.0653199603,0.1459856244,0.024527528,0.7968392301,0.0619878584,0.0694752703,1.0,0.1531850589,0.0218848265,0.491277776,0.0953263307,0.0157587622,0.2357560279
33,2020-02-18,RUB,0.0144993729,0.0234817344,0.0283578735,0.0681601021,0.0207993504,0.0153968841,0.1098066509,0.3610053865,0.1083132155,0.0120323046,0.1218295309,0.1079333319,4.8548250288,214.3016014557,0.053688278,1.1221064689,1.9965636486,1.7210755635,18.6859218339,0.292301558,0.0651297331,0.1462740236,0.0245343889,0.7945511357,0.0619790194,0.069340351,1.0,0.1529654842,0.0218331557,0.489687321,0.0951782335,0.0156825217,0.2360381913
34,2020-02-19,RUB,0.0145720552,0.0235222115,0.0285000255,0.0687567851,0.020810352,0.0154769798,0.1100743903,0.3637476411,0.1088430517,0.0121163724,0.122295973,0.1084933224,4.9010193153,215.4192744574,0.053837915,1.125465395,2.0124008189,1.7391747845,18.7214478794,0.2924465752,0.065508674,0.1459799343,0.0246020007,0.7958673652,0.062240162,0.0696427661,1.0,0.154089283,0.0219061705,0.491019971,0.0956014251,0.0157378196,0.2352294006
35,2020-02-20,RUB,0.0145336163,0.0236810743,0.0284248467,0.0688035927,0.0207888847,0.015428887,0.1101459175,0.3638781502,0.1085384995,0.0121849839,0.1220242421,0.1082681743,4.912362294,214.9578525129,0.0537874604,1.1230779293,2.0070924047,1.7565328605,18.9197163038,0.2931212394,0.0656120106,0.1459974421,0.0247740023,0.7953521495,0.0622402116,0.0697308374,1.0,0.1540345319,0.0219617475,0.4930383978,0.0956399151,0.0156817719,0.2368485307
36,2020-02-21,RUB,0.0143785587,0.0235276356,0.0281215851,0.0683700466,0.020590096,0.0152556508,0.109197964,0.3603410594,0.1074107092,0.0120075344,0.1209481222,0.1071058837,4.8470121355,213.774371657,0.0531790993,1.1179904526,1.9885546673,1.7392304595,18.8280036809,0.2950235808,0.0651262437,0.1450408351,0.0245930868,0.790173693,0.0615905562,0.069074596,1.0,0.1519669868,0.0217561972,0.4912290792,0.0950868465,0.0155302812,0.2343201817
37,2020-02-24,RUB,0.0141507765,0.0231846323,0.0276760887,0.0671793965,0.020337496,0.0149998231,0.1076902395,0.3564014575,0.1057048856,0.0118630205,0.119325008,0.1056355468,4.7774436622,213.661867195,0.0526522093,1.1013054091,1.9712031698,1.7054515867,18.6677043903,0.2932522022,0.0647086709,0.1433869884,0.0241907525,0.7818021014,0.0608327732,0.0680128772,1.0,0.1497619132,0.0214582375,0.4858810627,0.0942427566,0.01530831,0.2314953833
38,2020-02-25,RUB,0.014125431,0.0232250337,0.027626518,0.0671932627,0.0203448583,0.0149800196,0.1074168401,0.3563281225,0.1055183821,0.0118130979,0.1192822021,0.1053291014,4.7660616745,213.2191433491,0.0524872765,1.0978849992,1.9676725386,1.6939216858,18.584547061,0.2912451991,0.0648159527,0.143514379,0.0242392396,0.7819838603,0.0607563038,0.067940498,1.0,0.1492888552,0.0214226287,0.4857735722,0.0941996743,0.0153119672,0.2325738089
39,2020-02-26,RUB,0.0140376884,0.0232534308,0.0274549109,0.0670173281,0.0203111313,0.0148883723,0.1071482717,0.3557711744,0.1048755699,0.0118127148,0.1189581789,0.1047281742,4.7627069155,213.6797273319,0.0525416639,1.0938096602,1.9554499921,1.6863475058,18.5618949756,0.2920681446,0.0645059857,0.1433430474,0.0242472991,0.7796251376,0.0604940143,0.0674510927,1.0,0.1485369921,0.0213429014,0.4866024302,0.0940258406,0.0152659861,0.2309971812
40,2020-02-27,RUB,0.0138686253,0.0231217721,0.0271242573,0.0679215923,0.02029812,0.0147381881,0.1065290714,0.3506404531,0.1036333025,0.0117876381,0.1185157242,0.1034946162,4.6927267382,213.4099898482,0.0522444983,1.0892140927,1.9318995024,1.670614602,18.415176714,0.2948483605,0.0640231218,0.1427331177,0.0240287802,0.7734116263,0.0598070597,0.0667080876,1.0,0.146664873,0.0212106755,0.4812551661,0.0936659215,0.0152055608,0.2335753871
41,2020-02-28,RUB,0.0135851845,0.0229249989,0.0265699039,0.0668825805,0.0200476568,0.0144193149,0.1041467417,0.3449278355,0.1015125744,0.0115902002,0.1162212537,0.1014745359,4.5859507456,213.9564676347,0.0516943442,1.0771013563,1.8924162066,1.6215276268,18.0000978133,0.2939426379,0.0628491392,0.1411337652,0.0239207929,0.7611371343,0.0587681498,0.0653854932,1.0,0.1450055428,0.0208084272,0.470482111,0.0928520193,0.0149124571,0.2322536734
42,2020-03-02,RUB,0.0134120172,0.0227977468,0.0262312232,0.0669769313,0.0199262339,0.0142905043,0.1039015558,0.3423417382,0.1002280043,0.0116836105,0.1160474785,0.1003688305,4.518776824,213.3772800429,0.0520734979,1.0852601931,1.9004828326,1.607027897,17.7823229614,0.2950147532,0.0627025215,0.1395426502,0.0237902361,0.7579265021,0.0580418455,0.0645198498,1.0,0.1422518777,0.0207202253,0.4689914163,0.0928822425,0.0149168455,0.2336400215
43,2020-03-03,RUB,0.0135126005,0.0228511587,0.0264279441,0.0676062428,0.0200756706,0.0143855145,0.1048199446,0.3442334977,0.1009796635,0.0117573137,0.1168448078,0.1011458685,4.5494223363,214.539558138,0.0519829741,1.1003175461,1.9309506114,1.6184041619,17.9391932978,0.2926815756,0.0631822174,0.1396229984,0.0239551382,0.7630160124,0.0583284913,0.064978042,1.0,0.1426795487,0.0209161543,0.4737923113,0.0927315722,0.015021958,0.2340990474
44,2020-03-04,RUB,0.0136578437,0.0229369827,0.0267120107,0.068488623,0.0202982873,0.0145415062,0.1051845175,0.3460897593,0.1020609686,0.0118618373,0.1180543036,0.1022262285,4.5748313256,214.4683001448,0.0525157748,1.1131484061,1.9421453741,1.6332049496,17.9595181513,0.2924212625,0.0634966811,0.1407454451,0.0241293125,0.7687727062,0.0586850228,0.065657352,1.0,0.1441653692,0.0210330793,0.4761943784,0.0926384222,0.0151943511,0.2318883335
45,2020-03-05,RUB,0.0134576823,0.0227663612,0.0263205351,0.0692801486,0.0202147846,0.0143499267,0.1044033537,0.341098416,0.1005450361,0.0116637733,0.116995707,0.1008047694,4.5177439541,213.3309109505,0.0522346481,1.1055889755,1.9136824256,1.6099425357,17.8584790127,0.2970608422,0.0626212874,0.1395696233,0.0238793115,0.7641944904,0.0579070612,0.0647449096,1.0,0.1425370423,0.0208526788,0.4749888974,0.091563379,0.0150551092,0.232476079
46,2020-03-06,RUB,0.0129022602,0.0220667357,0.0252342405,0.0680568422,0.0196282085,0.0136622033,0.1012969352,0.3284657406,0.0963760131,0.0112462551,0.11365472,0.0968121095,4.3284502579,213.6419467962,0.051061985,1.0784483226,1.8450232112,1.5364011468,17.4390819784,0.2966977955,0.0610199495,0.1354517984,0.0230408563,0.7424218575,0.0555339084,0.0620727739,1.0,0.1369510411,0.0201662327,0.4598365542,0.0892952527,0.0146260022,0.2303234081
47,2020-03-09,RUB,0.0117432503,0.0203510527,0.0229674489,0.0639044193,0.0183347367,0.0124407993,0.0934762722,0.299499855,0.0877162079,0.0102616044,0.1045630748,0.0886615396,3.9486679044,193.6232976691,0.0472959405,0.9977065432,1.7027712896,1.375369472,16.1435635832,0.2856757007,0.0567245961,0.1278839955,0.0211625113,0.6812611781,0.0506509871,0.0565731082,1.0,0.1258911659,0.0186024828,0.4237082131,0.0822051006,0.0134530675,0.2147816988
48,2020-03-10,RUB,0.0122552774,0.0212959956,0.0239688716,0.0652507736,0.0190924967,0.0129832409,0.0971108183,0.3152670119,0.0915640798,0.0107092742,0.1084543031,0.09243543,4.1202242716,199.5404270964,0.0492012623,1.0307913845,1.7806918104,1.4540886669,16.6318821042,0.2925812678,0.0591500965,0.1328876497,0.0220668525,0.7051318974,0.0530163302,0.0590434756,1.0,0.1323753791,0.0193841723,0.4388492294,0.0856447808,0.013958761,0.222550936
49,2020-03-11,RUB,0.012288258,0.0213680518,0.0240333749,0.0649729351,0.0191438771,0.013014494,0.0968327015,0.3166684075,0.0918252364,0.0107755734,0.1082239166,0.0930774099,4.1222190136,199.9298340471,0.0495413408,1.0263337368,1.7903991841,1.4567729806,16.5654319015,0.2937200858,0.0589860958,0.1333988707,0.0220586519,0.7051371062,0.0530606979,0.0592453781,1.0,0.1317768207,0.0193429468,0.4372653711,0.0863078086,0.0139299692,0.2237691774
50,2020-03-12,RUB,0.0119007383,0.0210333649,0.023275464,0.0655504568,0.0184747062,0.0125540889,0.0938694537,0.3118350462,0.0889306473,0.0105467913,0.1040909978,0.0904456112,4.0268528259,195.5767335806,0.0486847304,0.9933308262,1.7689257442,1.3904822655,16.1778636747,0.2951716324,0.0570568998,0.1352899734,0.0216272118,0.6860180606,0.051886029,0.0573770297,1.0,0.1296525936,0.018778175,0.4234996739,0.0837347849,0.0133764299,0.2195055481
51,2020-03-13,RUB,0.0123856648,0.0219028097,0.0242238833,0.0644574769,0.0190602996,0.0131387133,0.0960966577,0.3225474835,0.0925605504,0.0110319117,0.106832552,0.0936727831,4.1972540981,203.1324584925,0.0506164965,1.0140948866,1.8578497247,1.4752565381,16.6138830917,0.2945744595,0.0588418165,0.1374387684,0.0224428247,0.6992079367,0.0539643417,0.0597150059,1.0,0.1343262508,0.0194256767,0.4365203713,0.0865138688,0.0137530422,0.2219944636
52,2020-03-16,RUB,0.0119630819,0.0217704165,0.0233973956,0.066252744,0.018589433,0.0126162662,0.0937319432,0.3225246888,0.0894013076,0.0108765948,0.1036983868,0.0906622164,4.1269043731,200.4557934215,0.0499997009,0.9906329068,1.8088179877,1.408772528,16.4293789366,0.3044341163,0.0575328536,0.1372943098,0.0221305053,0.6893725962,0.0527213021,0.057833127,1.0,0.1303952004,0.0189830184,0.4299172753,0.0856173848,0.0133472105,0.2220371932
53,2020-03-17,RUB,0.0121438807,0.0222075146,0.0237510019,0.0671313725,0.0188375877,0.0128251524,0.0936232482,0.3277026206,0.0907536492,0.0110294368,0.1035557283,0.0920785466,4.2144123576,202.5800888932,0.0515034124,0.9905399169,1.8750151799,1.4269059821,16.5789473684,0.304193282,0.0580198188,0.1397311345,0.0223690282,0.686894324,0.0541957108,0.0587982416,1.0,0.1330884317,0.0190549632,0.4306341535,0.0865688679,0.0133364098,0.2213683725
54,2020-03-18,RUB,0.0114815967,0.0213190288,0.0224557069,0.0644496469,0.0180823667,0.0121084919,0.0883221828,0.3117712774,0.0858042686,0.010584884,0.0974982749,0.0871855047,4.0344034564,193.953331902,0.047825443,0.9315650909,1.7532398196,1.352302462,15.8193439645,0.3008339084,0.0548739952,0.1343461633,0.0215015862,0.6480328006,0.0516786668,0.0556283361,1.0,0.1265536036,0.0180949964,0.4069996406,0.0809349235,0.0125539779,0.213125991
55,2020-03-19,RUB,0.0115028999,0.0214356539,0.0224973716,0.0644588001,0.0179709805,0.012118305,0.0883986353,0.3175490541,0.0859623211,0.0106959715,0.0964506652,0.0875140623,4.0957225317,197.7013755168,0.0457838421,0.9333452963,1.7507413619,1.3645890129,15.6915658437,0.3024745038,0.0548527284,0.1416754664,0.0217439316,0.6394807131,0.0524578246,0.0557257985,1.0,0.1282837903,0.0179939863,0.4034757162,0.0812392304,0.0124242822,0.2148741698
